RefID,SampleID,Locality,Country,Latitude,Longitude,Easting,Northing,UTM_Zone,Elevation_meters,Depth_meters
1,1.0001,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0002,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0003,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0004,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0005,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0006,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0007,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0008,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0009,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.001,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0011,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0012,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0013,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0014,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0015,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0016,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0017,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0018,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0019,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.002,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0021,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0022,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0023,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0024,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0025,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0026,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0027,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
1,1.0028,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",547753.2594,9333503.2649,22 M,650,80
