RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#07,#07-0001,Cop061b,05QCU,"Copley, Flinders Range, SA",Australia,"30°31'29.4""S","138°32'28.2""E",264073.736,6620484.35,54J,404,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,5.53,,0.13,,,,0.42,,0.02,5.56,14.00,,15.40,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0002,Cop061b,05QCV,"Copley, Flinders Range, SA",Australia,"30°31'29.4""S","138°32'28.2""E",264073.736,6620484.35,54J,404,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,0.42,,0.06,,,,0.18,,0.14,0.44,73.14,,80.45,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,strangely low U
#07,#07-0003,Cop061b,05QCW,"Copley, Flinders Range, SA",Australia,"30°31'29.4""S","138°32'28.2""E",264073.736,6620484.35,54J,404,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,2.22,,0.10,,,,0.27,,0.04,2.24,21.73,,23.90,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0004,Cop0604a,05QCX,"Copley, Flinders Range, SA",Australia,30°31'30.1''S,138°32'27.9''E,264066.146,6620462.555,54J,394,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,0.56,,0.05,,,,0.03,,0.09,0.57,9.87,,10.85,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0005,Cop0604b,05QCY,"Copley, Flinders Range, SA",Australia,30°31'30.1''S,138°32'27.9''E,264066.146,6620462.555,54J,394,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,0.52,,0.12,,,,0.02,,0.23,0.55,7.95,,8.74,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0006,Cop0604c,05QCZ,"Copley, Flinders Range, SA",Australia,30°31'30.1''S,138°32'27.9''E,264066.146,6620462.555,54J,394,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,1.31,,0.12,,,,0.09,,0.10,1.34,12.24,,13.46,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0007,Cop0604d,05QDA,"Copley, Flinders Range, SA",Australia,30°31'30.1''S,138°32'27.9''E,264066.146,6620462.555,54J,390,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,0.51,,0.04,,,,0.02,,0.07,0.52,8.83,,9.71,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0008,Cop0605a,05QDB,"Copley, Flinders Range, SA",Australia,30°31'30.6''S,138°32'27.7''E,264061.203,6620447.029,54J,390,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,39.19,,0.04,,,,0.31,,0.00,39.20,1.44,,1.58,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,Large Pt correction
#07,#07-0009,Cop0605b,05QDC,"Copley, Flinders Range, SA",Australia,30°31'30.6''S,138°32'27.7''E,264061.203,6620447.029,54J,390,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,8.60,,0.06,,,,0.42,,0.01,8.61,8.96,,9.86,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0010,Cop0605c,05QDD,"Copley, Flinders Range, SA",Australia,30°31'30.6''S,138°32'27.7''E,264061.203,6620447.029,54J,370,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,1.80,,0.04,,,,0.08,,0.02,1.81,8.13,,8.94,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0011,Cop0606a,05QDE,"Copley, Flinders Range, SA",Australia,30°31'32.1''S,138°32'26.4''E,264027.561,6620400.153,54J,370,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,11.54,,0.08,,,,0.70,,0.01,11.56,11.12,,12.23,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0012,Cop0606b,05QDF,"Copley, Flinders Range, SA",Australia,30°31'32.1''S,138°32'26.4''E,264027.561,6620400.153,54J,370,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,8.24,,0.07,,,,0.51,,0.01,8.25,11.25,,12.38,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0013,Cop0606c,05QDG,"Copley, Flinders Range, SA",Australia,30°31'32.1''S,138°32'26.4''E,264027.561,6620400.153,54J,370,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,14.14,,0.19,,,,0.83,,0.01,14.19,10.76,,11.84,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
#07,#07-0014,Cop0606f,05QDH,"Copley, Flinders Range, SA",Australia,30°31'32.1''S,138°32'26.4''E,264027.561,6620400.153,54J,370,,goethite,Sulfide veins in hydrothermal breccia (Cu deposit),Gossans and Lateritized Cu-Au deposits,9.05,,0.05,,,,0.30,,0.01,9.07,6.10,,6.71,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
