RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#19,#19-0001,FH-L-ul-a1,,"Lohn am Randen, Almenbuhl quarry",Switzerland,"47°45'46.739""N","8°40'51.578""E",476094.805,5290006.586,32T,544,,goethite,yellowish to reddish continental clay deposits,Lateritized continental sediments,3.93,0.15,26.39,0.59,,,1.52,0.01,6.72,10.13,27.45,1.22,30.2,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
#19,#19-0002,FH-L-ul-b2,,"Lohn am Randen, Almenbuhl quarry",Switzerland,"47°45'46.739""N","8°40'51.578""E",476094.805,5290006.586,32T,544,,goethite,yellowish to reddish continental clay deposits,Lateritized continental sediments,1.91,0.07,28.68,0.5,,,0.85,0.01,15.02,8.65,17.89,0.75,19.68,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
#19,#19-0003,FH-L-ul-c1,,"Lohn am Randen, Almenbuhl quarry",Switzerland,"47°45'46.739""N","8°40'51.578""E",476094.805,5290006.586,32T,544,,goethite,yellowish to reddish continental clay deposits,Lateritized continental sediments,4.46,0.12,39.79,0.53,,,1.37,0.02,8.92,13.81,18.25,0.54,20.08,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
#19,#19-0004,FH-L-ul-c2,,"Lohn am Randen, Almenbuhl quarry",Switzerland,"47°45'46.739""N","8°40'51.578""E",476094.805,5290006.586,32T,544,,goethite,yellowish to reddish continental clay deposits,Lateritized continental sediments,2.55,0.17,35.14,0.6,,,1.29,0.01,13.78,10.81,21.97,0.88,24.17,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
#19,#19-0005,FH-L-ul-c3,,"Lohn am Randen, Almenbuhl quarry",Switzerland,"47°45'46.739""N","8°40'51.578""E",476094.805,5290006.586,32T,544,,goethite,yellowish to reddish continental clay deposits,Lateritized continental sediments,5.12,0.16,37.97,0.63,,,1.49,0.01,7.42,14.04,19.44,0.69,21.38,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
#19,#19-0006,FH-L-ul-d1,,"Lohn am Randen, Almenbuhl quarry",Switzerland,"47°45'46.739""N","8°40'51.578""E",476094.805,5290006.586,32T,544,,goethite,yellowish to reddish continental clay deposits,Lateritized continental sediments,0.97,0.19,22.93,0.53,,,1.27,0.01,23.64,6.36,36.55,2.1,40.21,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
#19,#19-0007,FH-L-ul-d3,,"Lohn am Randen, Almenbuhl quarry",Switzerland,"47°45'46.739""N","8°40'51.578""E",476094.805,5290006.586,32T,544,,goethite,yellowish to reddish continental clay deposits,Lateritized continental sediments,3.95,0.19,28.68,0.8,,,1.48,0.01,7.26,10.69,25.42,1.61,27.96,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
#19,#19-0008,FH-L-ul-e1,,"Lohn am Randen, Almenbuhl quarry",Switzerland,"47°45'46.739""N","8°40'51.578""E",476094.805,5290006.586,32T,544,,goethite,yellowish to reddish continental clay deposits,Lateritized continental sediments,2.86,0.08,17.18,0.28,,,0.93,0.01,6.01,6.9,24.65,0.8,27.12,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
#19,#19-0009,FH-L-ul-e2,,"Lohn am Randen, Almenbuhl quarry",Switzerland,"47°45'46.739""N","8°40'51.578""E",476094.805,5290006.586,32T,544,,goethite,yellowish to reddish continental clay deposits,Lateritized continental sediments,4.04,0.07,21.04,0.25,,,1.07,0.03,5.21,8.98,21.9,0.56,24.09,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
#19,#19-0010,FH-L-ul-e3,,"Lohn am Randen, Almenbuhl quarry",Switzerland,"47°45'46.739""N","8°40'51.578""E",476094.805,5290006.586,32T,544,,goethite,yellowish to reddish continental clay deposits,Lateritized continental sediments,3.06,0.11,16.88,0.34,,,0.96,0.01,5.52,7.03,25.1,0.99,27.61,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
