RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#03,#03-0001,Lynp02-08C(a),,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°29'48.3756""S","120°5'58.65""E",201584,7509294,51 K,480,0,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,2.91,,2.89,,,,0.07,,0.99,3.59,3.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#03,#03-0002,Lynp02-09-A1(a),,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,0,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,5.56,,15.63,,,,1.42,,2.81,9.23,28.2,1.7,33,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
#03,#03-0003,Lynp02-09-A2(a),,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,0,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,5.43,,13.94,,,,1.5,,2.57,8.71,31.7,1.9,37.1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
#03,#03-0004,Lynp02-09-A3(a),,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,0,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,6.15,,16.03,,,,2,,2.61,9.92,36.9,2.2,43.2,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
#03,#03-0005,Lynp02-09-A5(a),,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,0,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,2,,2.36,,,,0.38,,1.18,2.55,27.4,1.6,32.1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
#03,#03-0006,Lynp02-09-A5(b),,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,0,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,2.59,,3.87,,,,0.46,,1.49,3.5,24,1.4,28,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
#03,#03-0007,MAR02-01-W(a),,"Marandoo, WA",Australia,"22°38'31.7112""S","118°9'26.8884""E",618935.308,7495631.593,50 K,700,0,goethite,weathered BIF,Lateritized BIFs,1.93,,15.26,,,,0.56,,7.91,5.52,18.5,1.1,21.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
#03,#03-0008,MAR02-01-W(b),,"Marandoo, WA",Australia,"22°38'31.7112""S","118°9'26.8884""E",618935.308,7495631.593,50 K,700,0,goethite,weathered BIF,Lateritized BIFs,1.21,,4.87,,,,0.55,,4.02,2.35,42.4,2.5,49.6,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
#03,#03-0009,MAR02-02-A5(a),,"Marandoo, WA",Australia,"22°38'31.7112""S","118°9'26.8884""E",618935.308,7495631.593,50 K,700,0,goethite,weathered BIF,Lateritized BIFs,0.24,,0.19,,,,0.1,,0.79,0.28,65.3,3.9,76.4,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
#03,#03-0010,MAR02-02-A5(b),,"Marandoo, WA",Australia,"22°38'31.7112""S","118°9'26.8884""E",618935.308,7495631.593,50 K,700,0,goethite,weathered BIF,Lateritized BIFs,0.5,,0.02,,,,0.1,,0.04,0.5,35.2,2.1,41.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
#03,#03-0011,MtWPS2-D1(a),,"Mt Wall gorge, WA",Australia,"22° 44' 1.48375"" S","116° 44' 11.45689"" E",472945,7485930,50 K,380,,goethite,weathered BIF,Lateritized BIFs,1.94,,0.26,,,,0.32,,0.13,2,29.1,1.7,34.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
#03,#03-0012,MtWPS2-D1(b),,"Mt Wall gorge, WA",Australia,"22° 44' 1.48375"" S","116° 44' 11.45689"" E",472945,7485930,50 K,380,,goethite,weathered BIF,Lateritized BIFs,2.34,,0.63,,,,0.44,,0.27,2.49,32.6,2,38.1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,LRD: 5%; HRD: 10%
